,bathrooms,bedrooms,longitude,latitude,price
19813,1.0,1,-73.9521,40.7175,3200
47119,1.0,0,-73.9478,40.7826,1950
16811,1.0,3,-73.9695,40.753,5950
40888,1.0,1,-73.9595,40.781,3800
48269,1.0,2,-73.9487,40.7805,2300
40901,1.0,1,-73.9677,40.7539,4500
46333,1.0,1,-73.9543,40.758,3380
9502,1.0,1,-73.9816,40.7396,2995
46595,1.0,2,-73.9942,40.7244,4495
25773,1.0,1,-73.9677,40.7539,3500
20645,1.0,2,-73.9833,40.7113,3100
38639,1.0,2,-73.9889,40.7258,3400
25165,1.0,3,-73.9889,40.7313,5650
41458,1.0,2,-73.9743,40.7438,3400
3809,1.0,1,-73.9608,40.7688,3995
30443,1.0,0,-73.9863,40.7664,2650
32766,2.0,3,-74.0052,40.7448,6200
11902,1.0,1,-73.95100000000002,40.7723,3095
36232,1.0,0,-73.9863,40.7349,2995
44504,1.0,1,-73.9416,40.7471,3450
9173,1.0,1,-73.9986,40.7296,2595
11370,1.0,0,-74.0175,40.7073,2590
16400,2.0,2,-73.9542,40.7758,3400
35670,1.0,3,-73.9806,40.7208,3700
2305,1.0,1,-73.9569,40.8032,2500
29969,1.0,1,-73.9732,40.7476,4295
11404,2.0,2,-73.9393,40.7974,2195
28902,1.0,1,-73.9742,40.7476,2700
11932,1.0,1,-73.9929,40.7389,4350
39913,1.0,1,-73.8885,40.7477,1795
19842,1.0,1,-73.9942,40.7568,2200
15931,2.0,2,-73.8553,40.7285,2550
1144,1.0,2,-73.9478,40.7739,2895
40740,2.0,4,-74.0089,40.7045,6000
19593,2.0,3,-73.9705,40.7957,4400
13446,1.0,3,-74.0084,40.7139,4700
37695,1.0,1,-73.9725,40.7465,3000
37770,1.0,0,-73.9994,40.7606,2600
49232,1.0,3,-73.9809,40.7406,4995
25416,1.0,0,-73.9458,40.8367,1500
1861,1.0,0,-73.9555,40.7744,2095
43325,1.0,1,-73.9937,40.7349,4495
44318,1.0,1,-73.9497,40.7844,2500
17266,1.0,2,-74.0124,40.7072,3200
24580,1.0,1,-73.9563,40.778,2995
48270,1.0,1,-73.9917,40.7408,5200
20109,1.0,1,-73.8885,40.7477,1795
30381,0.0,1,-73.9868,40.7488,4000
11476,1.0,1,-73.9532,40.7741,2400
9864,1.0,1,-73.9968,40.7562,2750
9325,2.0,2,-73.9791,40.7815,4400
48196,1.0,0,-73.9726,40.7518,3600
41249,1.0,1,-73.9446,40.7797,4495
37674,1.0,0,-73.9739,40.7479,2450
4875,2.0,3,-73.8293,40.7093,2176
5312,1.0,2,-73.9952,40.7213,3700
27350,1.0,1,-74.005,40.7473,2600
16339,1.0,1,-74.0047,40.7334,5100
8224,1.0,1,-73.9743,40.7521,3800
40966,1.0,0,-73.9549,40.7203,2500
36783,1.0,2,-73.9834,40.7797,7000
42980,1.0,3,-74.0095,40.7054,3650
23436,1.0,1,-73.9639,40.799,2750
22395,1.0,2,-73.9793,40.7486,3250
17594,1.0,0,-74.0047,40.7332,2695
15354,2.0,3,-73.9795,40.7404,6645
9853,1.0,3,-73.9822,40.7818,4350
6315,1.0,2,-73.9881,40.6655,2700
28563,1.0,0,-73.9877,40.7637,2450
28234,2.0,2,-73.976,40.7936,4300
20980,2.0,2,-73.9572,40.7826,7000
40441,1.0,1,-74.016,40.7052,3200
35048,1.0,3,-73.9721,40.7513,3995
44203,1.0,2,-73.9863,40.7398,3500
3624,1.0,1,-74.0157,40.7064,2580
44286,1.0,1,-74.0072,40.7067,3295
8645,1.0,1,-74.0021,40.7075,5700
11854,2.0,2,-74.0111,40.7061,5495
429,1.0,2,-73.9695,40.753,3095
24082,1.0,0,-73.9489,40.7706,1835
29680,2.0,3,-73.9661,40.7929,6000
24292,1.0,2,-73.953,40.7757,2995
18831,1.0,4,-74.0054,40.7183,5695
15665,1.0,2,-73.9689,40.7602,4700
27426,1.0,1,-73.986,40.7292,2450
658,1.0,2,-73.9979,40.7506,3199
41922,2.0,2,-73.9981,40.7607,4250
4657,1.0,1,-73.9209,40.7056,2000
21102,1.0,1,-73.9549,40.7676,2395
19504,1.0,0,-73.94800000000002,40.7731,2400
18703,1.0,1,-74.0315,40.7268,2710
24661,1.0,1,-73.9429,40.6604,2450
22940,1.0,1,-73.9904,40.7147,4495
3578,2.0,3,-74.0062,40.7053,10000
26187,1.0,0,-73.9617,40.7604,2500
22196,1.0,1,-73.958,40.771,1800
27301,1.0,2,-74.00399999999998,40.7297,3650
33465,1.0,2,-73.96300000000002,40.7594,3345
8769,1.0,2,-73.9455,40.8365,2550
45794,1.0,2,-73.9377,40.8006,2600
19579,2.0,2,-74.0096,40.7141,4200
31514,1.0,2,-73.9564,40.7481,2900
5964,1.0,0,-73.9782,40.7749,2290
34407,1.0,0,-73.9678,40.7902,2650
25062,1.0,2,-73.9739,40.7375,3790
3355,1.0,2,-73.8487,40.7286,2700
25151,1.0,1,-73.9592,40.7727,2850
22612,2.0,4,-73.9655,40.8026,5000
42365,1.0,1,-73.9831,40.7284,2200
45290,1.0,2,-73.9909,40.7587,3100
26206,3.0,3,-73.945,40.6386,2095
25993,1.0,0,-73.8826,40.8716,1300
9162,1.0,1,-73.9607,40.7675,3600
44016,1.0,2,-74.0022,40.7306,4195
15238,2.5,3,-73.9627,40.7634,6200
34996,1.0,2,-74.0085,40.7057,3525
24227,1.0,0,-73.947,40.7739,2025
16755,1.0,2,-73.9578,40.7633,2660
49028,1.0,0,-73.969,40.7516,2500
15239,1.0,1,-73.9942,40.7252,3450
11054,1.0,1,-73.9554,40.6866,2099
38683,1.0,2,-73.94800000000002,40.7891,2520
23750,1.0,0,-73.984,40.747,3400
33703,1.0,1,-73.9848,40.7635,3195
18053,2.0,3,-73.956,40.7302,3699
46621,1.0,2,-73.9682,40.7984,2800
32295,1.0,1,-73.986,40.6927,3435
25574,1.0,1,-74.0072,40.7067,3295
43734,1.0,3,-73.9486,40.7968,3550
37497,1.0,1,-73.9349,40.8465,1450
32212,1.0,1,-73.9523,40.7715,2350
41290,1.0,1,-73.9628,40.758,3750
4112,1.0,2,-73.9668,40.6905,3000
41622,1.0,2,-73.9564,40.6406,1875
42251,1.0,2,-73.99,40.7649,3100
19032,2.0,3,-73.9145,40.6861,2498
27048,1.0,1,-73.9564,40.7459,3150
44889,1.0,1,-73.9619,40.7626,2850
23244,1.0,1,-73.9678,40.7553,3550
18326,2.0,4,-73.9962,40.7593,5879
16689,1.0,3,-73.9421,40.7864,2950
29686,1.0,2,-73.9531,40.7769,2800
4633,1.0,2,-73.9742,40.796,3325
42082,2.0,3,-73.9832,40.7322,4500
11156,1.0,1,-73.9739,40.7536,2900
30111,2.0,3,-73.9746,40.7479,6695
47933,1.0,2,-73.9509,40.825,1900
12759,1.0,1,-74.0063,40.7347,3750
49310,1.0,3,-73.9497,40.7817,3995
39206,1.0,0,-73.9483,40.7808,1945
26828,2.0,3,-73.9399,40.8503,3400
36770,1.0,0,-73.97399999999998,40.7538,2200
5657,1.0,1,-73.8651,40.8719,1275
32486,2.0,3,-73.9793,40.7279,5495
39007,1.0,1,-73.9492,40.7707,1950
